text,label
안녕하세요,0
감사합니다,0
좋은 하루 되세요,0
오늘 날씨 좋네요,0
수고하셨습니다,0
사랑합니다,0
행복하세요,0
배고프네요,0
밥 먹었어요?,0
기분 좋은 하루입니다,0
오늘 일정 있어요?,0
저는 괜찮습니다,0
쉬는 중이에요,0
잘 지내시죠?,0
좋은 아침입니다,0
편안한 밤 되세요,0
다녀오겠습니다,0
잘 다녀오세요,0
늦어서 죄송합니다,0
항상 감사해요,0
도움이 필요해요,0
함께해주셔서 고마워요,0
지금 가는 중입니다,0
연락드릴게요,0
건강 조심하세요,0
좋은 소식이 있네요,0
축하드립니다,0
푹 쉬세요,0
행운을 빌어요,0
이해했어요,0
더 노력할게요,0
천천히 해요,0
괜찮아요,0
기다릴게요,0
커피 한잔 어때요?,0
산책하러 나가요,0
영화 볼래요?,0
오늘도 파이팅!,0
응원할게요,0
쉬엄쉬엄 해요,0
잘 하고 있어요,0
정말 멋져요,0
기대할게요,0
즐거운 주말 보내세요,0
늘 고마워요,0
생일 축하해요,0
오랜만이에요,0
웃는 얼굴이 보기 좋아요,0
덕분에 행복해요,0
편하게 이야기해요,0
안녕하세요,0
감사합니다,0
좋은 하루 되세요,0
오늘 날씨 좋네요,0
수고하셨습니다,0
사랑합니다,0
행복하세요,0
배고프네요,0
밥 먹었어요?,0
기분 좋은 하루입니다,0
오늘 일정 있어요?,0
저는 괜찮습니다,0
쉬는 중이에요,0
잘 지내시죠?,0
좋은 아침입니다,0
편안한 밤 되세요,0
다녀오겠습니다,0
잘 다녀오세요,0
늦어서 죄송합니다,0
항상 감사해요,0
도움이 필요해요,0
함께해주셔서 고마워요,0
지금 가는 중입니다,0
연락드릴게요,0
건강 조심하세요,0
좋은 소식이 있네요,0
축하드립니다,0
푹 쉬세요,0
행운을 빌어요,0
이해했어요,0
더 노력할게요,0
천천히 해요,0
괜찮아요,0
기다릴게요,0
커피 한잔 어때요?,0
산책하러 나가요,0
영화 볼래요?,0
오늘도 파이팅!,0
응원할게요,0
쉬엄쉬엄 해요,0
잘 하고 있어요,0
정말 멋져요,0
기대할게요,0
즐거운 주말 보내세요,0
늘 고마워요,0
생일 축하해요,0
오랜만이에요,0
웃는 얼굴이 보기 좋아요,0
덕분에 행복해요,0
편하게 이야기해요,0
오늘 기분이 좋아요,0
일이 잘 풀리고 있어요,0
친절하시네요,0
너무 맛있어요,0
정말 감사해요,0
좋은 정보 감사합니다,0
기회가 된다면 또 뵐게요,0
좋은 분이시네요,0
이해해주셔서 감사해요,0
친구가 되어줘서 고마워요,0
지금 정말 행복해요,0
배려해주셔서 감사합니다,0
잘 부탁드립니다,0
좋은 인연이네요,0
